/*********************************************
 * OPL 12.6.0.0 Data
 * Author: AYAN
 * Creation Date: Apr 29, 2020 at 4:09:15 PM
 *********************************************/
/*********************************************
 * OPL 12.6.0.0 Data
 * Author: AYAN
 * Creation Date: Jan 10, 2019 at 1:00:52 PM
 *********************************************/

p=6;
i=5;
j=3;
s=2;
k=6;
v=3;
Pi=[1 1 2 1 1];

cxp=[[0 0 0 1 0 0],[1 0 0 0 0 0],[0 0 0 0 1 1],[0 0 1 0 0 0 ],[0 1 0 0 0 0]];


fj=[1320 1300 1420];
fs=[ 16500 16250];
dij=[[3.986846  7.789187 6.526497],[ 12.320709  7.701828 8.911781],[ 3.509256 11.287196 2.048443], [ 4.840827  7.539317 7.577647],[5.790196 11.439043 7.740277]]; 
djs=[[13.48027 19.18378],[17.28975 25.98106],[19.05274 20.86767]];

Bs=[330 325];
Bj=[66 65 71];

Lk=[ 8.995615 10.263062  9.842166 11.773570 10.233943 10.637260];
Lv=[37.99123 40.52612 39.68433 ];




//jmax=3;
//smax=2;

cijk=[[[18.96273 20.23018 19.80928 21.74068 20.20106 20.60437 ],
[28.46858 29.73603 29.31513 31.24654 29.70691 30.11023 ],
[25.31186 26.57931 26.15841 28.08981 26.55019 26.95350 ]],

[[39.79739 41.06483 40.64394 42.57534 41.03571 41.43903 ],
[28.25018 29.51763 29.09673 31.02814 29.48851 29.89183],
[31.27507 32.54251 32.12162 34.05302 32.51339 32.91671 ]],

[[17.76876 19.03620 18.61531 20.54671 19.00708 19.41040 ],
[37.21361 38.48105 38.06016 39.99156 38.45193 38.85525 ],
[14.11672 15.38417 14.96327 16.89468 15.35505 15.75837 ]],

[[21.09768 22.36513 21.94423 23.87564 22.33601 22.73933 ],
[27.84391 29.11135 28.69046 30.62186 29.08223 29.48555 ],
[27.93973 29.20718 28.78628 30.71769 29.17806 29.58138 ]],

[[23.47111 24.73855 24.31766 26.24906 24.70943 25.11275 ],
[37.59322 38.86067 38.43977 40.37118 38.83155 39.23487 ],
[28.34631 29.61375 29.19286 31.12426 29.58464 29.98795 ]]];

 

cjsv=[[[ 467.5341 492.8830 484.4651],
[504.6069 529.9558 521.5379 ]],

[[492.2957 517.6446 509.2267 ],
[548.7892 574.1382 565.7202 ]],

[[ 503.7551 529.1041 520.6861 ],
[515.5522 540.9011 532.4832 ]]];



cpij=[[[0 0 0],[47.08832 35.54 38.566],[0 0 0],[0 0 0],[0 0 0]],
[[0 0 0],[0 0 0],[0 0 0],[0 0 0],[32.029 46.151 36.90469]],
[[0 0 0],[0 0 0],[0 0 0],[29.23517 35.98139 36.07722],[0 0 0]],
[[29.031 38.537 35.38075],[0 0 0],[0 0 0],[0 0 0],[0 0 0]],
[[0 0 0],[0 0 0],[26.298 45.74287 22.64599],[0 0 0],[0 0 0]],
[[0 0 0],[0 0 0],[26.70134 46.14619 23.0493],[0 0 0],[0 0 0]]];




//cipj=[[[0 0 0],[0 0 0],[0 0 0],[27.04072 36.54658 33.38985],[0 0 0],[0 0 0]],
//[[42.3832 35.49321 35.52069],[0 0 0],[0 0 0],[0 0 0],[0 0 0],[0 0 0]],
//[[0 0 0],[0 0 0],[0 0 0],[0 0 0],[27.00015 36.97643 28.8253],[29.52715 39.03683 30.57696]],
//[[0 0 0],[0 0 0],[29.92067 45.05934 33.745],[0 0 0],[0 0 0],[0 0 0]],
//[[0 0 0],[35.7182 38.78902 41.01881],[0 0 0],[0 0 0],[0 0 0],[0 0 0]]];


cpjsv=[[[[ 481.5165 506.8655 498.4475 ],
[518.5893 543.9383 535.5204 ]],

[[506.2781 531.6271 523.2091 ],
[562.7717 588.1206 579.7027 ]],

[[517.7376 543.0865 534.6686],
[529.5346 554.8836 546.4656]]],

[[[486.5863 511.9352 503.5173 ],
[523.6591 549.0081 540.5901 ]],

[[511.3479 536.6968 528.2789 ],
[567.8415 593.1904 584.7725 ]],

[[522.8074 548.1563 539.7384 ],
[534.6044 559.9534 551.5354 ]]],


[[[484.9027 510.2517 501.8337],
[521.9755 547.3245 538.9066 ]],

[[509.6643 535.0133 526.5953],
[566.1579 591.5068 583.0889 ]],

[[521.1238 546.4727 538.0548],
[532.9208 558.2698 549.8518 ]]],


[[[ 492.6283 517.9773 509.5593],
[529.7012 555.0501 546.6322 ]],

[[517.3899 542.7389 534.3209 ],
[573.8835 599.2324 590.8145 ]],

[[528.8494 554.1983 545.7804],
[540.6464 565.9954 557.5775 ]]],


[[[486.4698 511.8188 503.4008],
[523.5426 548.8916 540.4737 ]],

[[511.2314 536.5804 528.1624],
[567.7250 593.0739 584.6560 ]],

[[522.6909 548.0398 539.6219],
[534.4879 559.8369 551.4189 ]]],


[[[488.0831 513.4320 505.0141],
[525.1559 550.5049 542.0869 ]],

[[512.8447 538.1936 529.7757],
[569.3383 594.6872 586.2693 ]],

[[524.3042 549.6531 541.2352 ],
[536.1012 561.4501 553.0322 ]]]];
























//cjsv=[[[25 24 23], [19 21 18]],[[16.7 18.9 15.2], [16 19.6 20.1]],[[18.7 20.5 21.5],[25.5 22 24]]];

//cipj=[[[0.55 0.6 0.2],[3.6	4.8	2]],[[2 0.9 8]],[[ 3.6 4.5 6.9]],[[ 4.8 5.5 6.5]],[[2.4 6.8 9]]];
//cpij=[[[1.8 1.5 2], [], [], [],[]],	[[ 2 3.4 5],[],[ ],[],[]	],	[[],	[2 0.9 8],[]	,[] ,[],[[],[] ,[ 2.7 3.1 3.7],[],[]],[[],[],[],[ 4.8 5.5 6.5],[]],[[],[],[],[],[2.4 6.8 9]]];
//cpij=[[ [0.55 0.6 0.2], ,,,],	[[3.6	4.8	2],,,	, ],	[,	[2 0.9 8],	,	,	],[,,[ 3.6 4.5 6.9],,],[,,,[ 4.8 5.5 6.5],],[,,,,[ 3.9 3	4]]];


//cpij=[[2 4 10],[0.5 3 6],[1 3 4],[1 5 15],[2 9 0.5],[1.5 7 1]

//cpij=[[[1.8 1.5 2], [5 2.6 3.2], [6 2.8 3.8],[	3.6	2 7],	[5.4 2.5 1.9]],	[[3.6	4.8	2],[ 2	3.4	5],[ 5	5.5	6.5],	[7 1.7 2], [3 4 7.2]],	[[4.5	4.9	1.2],	[2 0.9 8],	[7 0.7 5],	[5 5	6.5],	[6.4	1 0.5]],[[ 5.7 4.6 3.5],[ 2.7 3.1 3.7],[ 3.6 4.5 6.9],[ 4	7 3.5],[ 6.5 1.8 2.4]],[[ 2	0.9	0.8],[	7 4.6 1.7],[ 1.5 2.5 4.2],[ 4.8 5.5 6.5],[ 7.5 4	2.9]],[[	3.7	1.5	6],[ 6.4 7.3 5],[	4.5	4.6	8],[ 4.7 6.8 5.8],[ 3.9 3	4]]];
//cpjs=[[[5 5.5],	[4 3],	[2.6 4.5]],[[	5 4.6],[ 3.5 2.5],[ 2.9 3.3]],[[ 4.5 4],	[4 5],[	4.5	4.5]],	[[3.5	3.8],	[2.1	2.5],	[4 3]],[[	3.7	3],[ 1.9 2.6],[ 2.4 4]],[[	4.1	1.5],[	2.8	2.7],[	3 3.1]]];



  

 /*********************************************
 * OPL 12.6.0.0 Data
 * Author: AYAN
 * Creation Date: Apr 30, 2020 at 11:50:56 AM
 *********************************************/
